strategy,feature,mean_abs_shap,shap_rank,removed_by_s1_filter,zeroed_by_lasso
OLS-All,temp_c,179.3339,,False,False
OLS-All,wind_ms,48.023,,False,True
OLS-All,precip_mm,6.4195,,False,False
OLS-All,sunshine_h,12.8022,,True,False
OLS-All,global_rad,106.1024,,False,False
OLS-All,pressure_hpa,13.7291,,False,False
OLS-All,humidity_pct,12.7172,,False,True
OLS-All,cloudiness,1.9641,,False,True
OLS-All,nao,13.0,,False,False
OLS-All,price_eur_kwh,4.8514,,False,True
OLS-All,gdp_mln_eur,79.2588,,False,False
OLS-All,population,31.4141,,True,False
OLS-All,wind_energy_gwh,5.5,,False,False
OLS-All,solar_energy_gwh,2.9804,,False,False
OLS-All,day_of_week,97.2946,,False,False
OLS-All,month,11.3942,,False,False
OLS-All,is_weekend,22.2798,,False,False
OLS-All,is_holiday,28.0315,,False,False
OLS-All,sin1_ann,61.4204,,False,True
OLS-All,cos1_ann,145.3503,,False,False
OLS-All,sin2_ann,10.703,,False,True
OLS-All,cos2_ann,10.8444,,False,False
Filter,temp_c,181.4122,1.0,False,False
Filter,wind_ms,43.8848,8.0,False,True
Filter,precip_mm,8.865,19.0,False,False
Filter,sunshine_h,22.6676,11.0,True,False
Filter,global_rad,124.8864,2.0,False,False
Filter,pressure_hpa,14.7452,13.0,False,False
Filter,humidity_pct,9.0715,18.0,False,True
Filter,cloudiness,3.9596,21.0,False,True
Filter,nao,12.4441,15.0,False,False
Filter,price_eur_kwh,12.7411,14.0,False,True
Filter,gdp_mln_eur,79.0356,6.0,False,False
Filter,population,109.2289,3.0,True,False
Filter,wind_energy_gwh,6.7885,20.0,False,False
Filter,solar_energy_gwh,0.9749,22.0,False,False
Filter,day_of_week,89.2992,5.0,False,False
Filter,month,11.6949,16.0,False,False
Filter,is_weekend,29.8694,9.0,False,False
Filter,is_holiday,28.0049,10.0,False,False
Filter,sin1_ann,53.972,7.0,False,True
Filter,cos1_ann,102.1484,4.0,False,False
Filter,sin2_ann,16.8651,12.0,False,True
Filter,cos2_ann,11.4151,17.0,False,False
PCA,temp_c,219.6836,,False,False
PCA,wind_ms,56.0113,,False,True
PCA,precip_mm,10.7469,,False,False
PCA,sunshine_h,26.6611,,True,False
PCA,global_rad,86.0092,,False,False
PCA,pressure_hpa,15.968,,False,False
PCA,humidity_pct,13.1371,,False,True
PCA,cloudiness,1.8333,,False,True
PCA,nao,13.5174,,False,False
PCA,price_eur_kwh,1.8003,,False,True
PCA,gdp_mln_eur,50.9724,,False,False
PCA,population,35.0294,,True,False
PCA,wind_energy_gwh,2.4523,,False,False
PCA,solar_energy_gwh,0.6722,,False,False
PCA,day_of_week,96.9396,,False,False
PCA,month,35.4842,,False,False
PCA,is_weekend,19.4376,,False,False
PCA,is_holiday,29.2211,,False,False
PCA,sin1_ann,93.0412,,False,True
PCA,cos1_ann,109.2034,,False,False
PCA,sin2_ann,11.2578,,False,True
PCA,cos2_ann,13.6412,,False,False
Ridge,temp_c,179.9633,1.0,False,False
Ridge,wind_ms,47.7908,7.0,False,True
Ridge,precip_mm,7.0491,18.0,False,False
Ridge,sunshine_h,14.3974,11.0,True,False
Ridge,global_rad,99.462,3.0,False,False
Ridge,pressure_hpa,12.8646,15.0,False,False
Ridge,humidity_pct,11.1882,17.0,False,True
Ridge,cloudiness,2.2314,22.0,False,True
Ridge,nao,14.2726,12.0,False,False
Ridge,price_eur_kwh,4.901,20.0,False,True
Ridge,gdp_mln_eur,77.9283,5.0,False,False
Ridge,population,29.8158,8.0,True,False
Ridge,wind_energy_gwh,5.5498,19.0,False,False
Ridge,solar_energy_gwh,2.938,21.0,False,False
Ridge,day_of_week,91.4143,4.0,False,False
Ridge,month,14.179,13.0,False,False
Ridge,is_weekend,19.7423,10.0,False,False
Ridge,is_holiday,22.9196,9.0,False,False
Ridge,sin1_ann,59.5418,6.0,False,True
Ridge,cos1_ann,149.1359,2.0,False,False
Ridge,sin2_ann,12.2961,16.0,False,True
Ridge,cos2_ann,13.9811,14.0,False,False
Lasso,temp_c,181.7835,1.0,False,False
Lasso,wind_ms,48.5087,7.0,False,True
Lasso,precip_mm,6.6347,20.0,False,False
Lasso,sunshine_h,18.8062,11.0,True,False
Lasso,global_rad,101.4464,3.0,False,False
Lasso,pressure_hpa,12.2496,15.0,False,False
Lasso,humidity_pct,9.4494,19.0,False,True
Lasso,cloudiness,5.3292,21.0,False,True
Lasso,nao,9.5023,18.0,False,False
Lasso,price_eur_kwh,12.3029,14.0,False,True
Lasso,gdp_mln_eur,74.9735,5.0,False,False
Lasso,population,36.3295,8.0,True,False
Lasso,wind_energy_gwh,9.6204,17.0,False,False
Lasso,solar_energy_gwh,3.5983,22.0,False,False
Lasso,day_of_week,90.7274,4.0,False,False
Lasso,month,18.4211,12.0,False,False
Lasso,is_weekend,27.4928,9.0,False,False
Lasso,is_holiday,26.9972,10.0,False,False
Lasso,sin1_ann,65.96,6.0,False,True
Lasso,cos1_ann,150.0576,2.0,False,False
Lasso,sin2_ann,10.4264,16.0,False,True
Lasso,cos2_ann,12.5817,13.0,False,False
