date,demand_MW,temp_c,wind_ms,precip_mm,sunshine_h,global_rad,pressure_hpa,humidity_pct,cloudiness,nao,price_eur_kwh,gdp_mln_eur,population,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday
2009-01-01,11696.708333333334,-0.6,1.6,0.0,0.2,81,1029.6,92,8.0,-0.01,0.15516666666666667,157630.0,16497.0,381.75,3.75,3,1,0,1
2009-01-02,12393.041666666666,-0.8,2.2,0.5,1.0,146,1029.6,92,5.0,-0.01,0.15516666666666667,157646.82222222222,16497.2,381.75,3.75,4,1,0,0
2009-01-03,12795.0,-2.7,1.9,0.0,0.0,90,1027.8,89,6.0,-0.01,0.15516666666666667,157663.64444444445,16497.4,381.75,3.75,5,1,1,0
2009-01-04,12344.666666666666,2.3,3.8,4.0,0.0,78,1018.5,85,8.0,-0.01,0.15516666666666667,157680.46666666667,16497.6,381.75,3.75,6,1,1,0
2009-01-05,13870.208333333334,-1.2,5.2,2.1,3.8,311,1021.9,81,5.0,-0.01,0.15516666666666667,157697.2888888889,16497.8,381.75,3.75,0,1,0,0
2009-01-06,14198.958333333334,-5.9,2.1,0.0,6.8,483,1026.5,76,0.0,-0.01,0.15516666666666667,157714.11111111112,16498.0,381.75,3.75,1,1,0,0
2009-01-07,14410.25,-0.8,2.0,0.2,1.1,204,1023.3,89,7.0,-0.01,0.15516666666666667,157730.93333333332,16498.2,381.75,3.75,2,1,0,0
2009-01-08,14615.833333333334,-4.5,2.0,0.0,0.0,133,1030.6,99,7.0,-0.01,0.15516666666666667,157747.75555555554,16498.4,381.75,3.75,3,1,0,0
2009-01-09,14489.583333333334,-6.9,0.9,0.0,6.5,439,1030.6,95,0.0,-0.01,0.15516666666666667,157764.57777777777,16498.6,381.75,3.75,4,1,0,0
2009-01-10,12981.416666666666,-6.8,2.1,0.0,6.8,496,1028.5,86,0.0,-0.01,0.15516666666666667,157781.4,16498.8,381.75,3.75,5,1,1,0
2009-01-11,12545.625,-1.1,4.1,0.0,6.9,459,1027.2,71,2.0,-0.01,0.15516666666666667,157798.22222222222,16499.0,381.75,3.75,6,1,1,0
2009-01-12,14288.208333333334,3.9,6.2,2.4,0.2,208,1016.9,73,7.0,-0.01,0.15516666666666667,157815.04444444444,16499.2,381.75,3.75,0,1,0,0
2009-01-13,14205.375,4.6,4.2,4.0,0.0,69,1011.6,96,8.0,-0.01,0.15516666666666667,157831.86666666667,16499.4,381.75,3.75,1,1,0,0
2009-01-14,13449.208333333334,4.1,2.6,0.0,1.0,207,1014.9,98,8.0,-0.01,0.15516666666666667,157848.6888888889,16499.6,381.75,3.75,2,1,0,0
2009-01-15,13391.958333333334,2.6,3.3,0.0,6.9,441,1019.8,84,5.0,-0.01,0.15516666666666667,157865.51111111112,16499.8,381.75,3.75,3,1,0,0
2009-01-16,13952.416666666666,1.7,3.9,0.0,0.0,177,1019.0,85,8.0,-0.01,0.15516666666666667,157882.33333333334,16500.0,381.75,3.75,4,1,0,0
2009-01-17,12904.916666666666,5.0,5.1,0.7,0.8,113,1012.6,90,7.0,-0.01,0.15516666666666667,157899.15555555557,16500.2,381.75,3.75,5,1,1,0
2009-01-18,12403.583333333334,5.5,6.1,5.4,0.7,93,997.7,86,5.0,-0.01,0.15516666666666667,157915.97777777776,16500.4,381.75,3.75,6,1,1,0
2009-01-19,14267.583333333334,4.8,6.5,4.1,1.0,89,987.5,88,7.0,-0.01,0.15516666666666667,157932.8,16500.6,381.75,3.75,0,1,0,0
2009-01-20,13741.333333333334,4.0,4.8,0.9,3.5,320,994.4,84,6.0,-0.01,0.15516666666666667,157949.6222222222,16500.8,381.75,3.75,1,1,0,0
2009-01-21,13421.791666666666,3.4,3.5,0.0,1.0,239,1005.0,87,8.0,-0.01,0.15516666666666667,157966.44444444444,16501.0,381.75,3.75,2,1,0,0
2009-01-22,14236.666666666666,4.0,6.4,6.8,0.0,90,993.5,88,8.0,-0.01,0.15516666666666667,157983.26666666666,16501.2,381.75,3.75,3,1,0,0
2009-01-23,14426.25,5.1,5.9,22.6,0.0,78,973.2,92,8.0,-0.01,0.15516666666666667,158000.0888888889,16501.4,381.75,3.75,4,1,0,0
2009-01-24,12901.416666666666,4.0,3.2,0.0,2.6,258,988.9,87,6.0,-0.01,0.15516666666666667,158016.9111111111,16501.6,381.75,3.75,5,1,1,0
2009-01-25,12036.625,2.2,4.8,0.0,5.9,460,996.3,85,5.0,-0.01,0.15516666666666667,158033.73333333334,16501.8,381.75,3.75,6,1,1,0
2009-01-26,13583.083333333334,1.3,3.3,0.0,5.8,475,1002.9,81,2.0,-0.01,0.15516666666666667,158050.55555555556,16502.0,381.75,3.75,0,1,0,0
2009-01-27,13607.416666666666,-0.5,2.0,0.0,7.0,523,1015.0,88,3.0,-0.01,0.15516666666666667,158067.3777777778,16502.2,381.75,3.75,1,1,0,0
2009-01-28,13647.166666666666,-1.0,2.8,0.0,7.7,567,1018.9,89,2.0,-0.01,0.15516666666666667,158084.2,16502.4,381.75,3.75,2,1,0,0
2009-01-29,13761.083333333334,-1.2,2.6,0.0,7.9,654,1021.9,87,2.0,-0.01,0.15516666666666667,158101.02222222224,16502.6,381.75,3.75,3,1,0,0
2009-01-30,13580.333333333334,0.1,4.0,0.0,7.7,623,1022.5,78,0.0,-0.01,0.15516666666666667,158117.84444444443,16502.8,381.75,3.75,4,1,0,0
2009-01-31,12815.208333333334,0.1,5.8,0.0,8.0,651,1019.4,73,1.0,-0.01,0.15516666666666667,158134.66666666666,16503.0,381.75,3.75,5,1,1,0
2009-02-01,12863.5,-1.3,6.7,0.0,4.1,515,1013.1,69,5.0,0.06,0.15516666666666667,158151.48888888888,16503.2,381.75,3.75,6,2,1,0
2009-02-02,14728.833333333334,1.4,6.5,0.0,0.2,170,1000.7,73,7.0,0.06,0.15516666666666667,158168.3111111111,16503.4,381.75,3.75,0,2,0,0
2009-02-03,13924.958333333334,2.2,2.6,2.4,0.0,120,999.9,86,8.0,0.06,0.15516666666666667,158185.13333333333,16503.6,381.75,3.75,1,2,0,0
2009-02-04,13894.958333333334,0.4,1.4,0.0,0.0,105,997.8,93,8.0,0.06,0.15516666666666667,158201.95555555556,16503.8,381.75,3.75,2,2,0,0
2009-02-05,13943.625,3.3,3.1,3.0,1.4,227,992.8,94,7.0,0.06,0.15516666666666667,158218.77777777778,16504.0,381.75,3.75,3,2,0,0
2009-02-06,13958.666666666666,4.1,2.1,0.0,4.5,503,990.9,93,6.0,0.06,0.15516666666666667,158235.6,16504.2,381.75,3.75,4,2,0,0
2009-02-07,13052.916666666666,2.9,2.7,3.0,1.9,304,992.2,90,7.0,0.06,0.15516666666666667,158252.42222222223,16504.4,381.75,3.75,5,2,1,0
2009-02-08,12043.375,1.3,2.6,1.7,3.2,417,1002.2,91,5.0,0.06,0.15516666666666667,158269.24444444446,16504.6,381.75,3.75,6,2,1,0
2009-02-09,13684.708333333334,2.6,4.3,9.8,0.0,138,999.5,91,8.0,0.06,0.15516666666666667,158286.06666666668,16504.8,381.75,3.75,0,2,0,0
