Feature,OLS-All (S0),Filter (S1),Ridge (S3),Lasso (l1=1.0) (S4)
cloudiness,-23.59,9.97,-20.3,
cos1_ann,748.03,653.47,711.98,747.53
cos2_ann,301.38,353.51,300.2,291.81
day_of_week,-2.29,-1.82,-11.6,-2.2
gdp_mln_eur,352.39,637.6,346.8,303.4
global_rad,31.18,-112.82,1.64,40.66
humidity_pct,-28.3,-28.73,-26.72,
is_holiday,-1608.15,-1606.51,-1476.7,-1604.92
is_weekend,-1787.11,-1788.91,-1735.01,-1786.28
month,-24.84,-27.0,-25.2,-23.69
nao,45.71,56.25,47.14,46.74
population,351.98,,341.76,397.07
precip_mm,39.66,37.57,38.01,35.31
pressure_hpa,-33.93,-35.03,-34.14,-31.96
price_eur_kwh,-17.25,-57.17,-16.76,
sin1_ann,29.15,44.31,23.53,29.24
sin2_ann,-2.86,-15.76,-0.91,0.87
solar_energy_gwh,-478.54,-442.58,-470.71,-476.08
sunshine_h,-129.38,,-109.98,-99.38
temp_c,-76.29,-70.53,-82.61,-79.19
wind_energy_gwh,-220.22,-190.68,-208.39,-216.81
wind_ms,-7.1,-7.37,-6.25,
