YYYYMMDD,DDVEC,FHVEC,FG,TG,SQ,SP,Q,DR,RH,PG,NG,UG,EV24
20000101,237,21,25,61,0,0,93,20,10,10240,7,97,1
20000102,205,36,37,73,0,0,68,0,-1,10267,8,97,1
20000103,212,57,61,84,0,0,35,64,45,10203,8,94,0
20000104,231,23,38,64,0,0,30,82,109,10142,7,94,0
20000105,191,37,40,44,65,82,347,0,0,10183,3,90,4
20000106,206,49,52,72,10,13,112,19,19,10152,6,91,2
20000107,208,46,48,61,0,0,149,0,0,10199,7,92,2
20000108,211,42,43,54,8,10,63,27,17,10173,6,94,1
20000109,271,14,15,8,57,71,354,0,0,10257,1,94,4
20000110,163,17,18,-8,58,72,427,0,0,10357,3,97,4
20000111,186,40,40,21,29,36,295,0,0,10352,6,87,3
20000112,191,54,54,7,67,83,360,0,0,10276,5,85,4
20000113,184,41,42,20,13,16,227,0,-1,10173,7,83,3
20000114,180,18,20,29,0,0,122,0,-1,10215,8,98,1
20000115,19,27,27,32,33,40,302,0,-1,10351,7,90,4
20000116,313,26,26,54,0,0,116,9,3,10358,8,95,1
20000117,322,45,47,64,5,6,82,1,1,10305,7,93,1
20000118,339,61,62,66,16,19,223,10,3,10269,7,84,3
20000119,328,28,29,39,0,0,175,3,1,10321,7,87,2
20000120,279,37,38,52,0,0,92,31,15,10293,7,87,1
20000121,311,33,37,52,19,22,255,3,1,10257,6,87,3
20000122,299,34,40,47,17,20,250,52,53,10115,6,90,3
20000123,23,32,33,11,9,10,203,0,-1,10188,6,85,2
20000124,174,12,17,-28,77,89,600,0,0,10254,3,76,6
20000125,223,29,31,5,31,36,360,0,0,10283,5,83,4
20000126,229,32,33,24,45,51,398,0,-1,10313,7,89,5
20000127,228,54,54,24,0,0,86,0,-1,10270,7,86,1
20000128,222,70,71,32,0,0,134,18,3,10135,7,86,2
20000129,241,90,94,90,0,0,77,65,95,9961,8,87,1
20000130,257,59,63,91,1,1,162,1,1,10098,7,82,2
20000131,249,70,73,97,0,0,58,30,36,10184,8,87,1
20000201,228,69,69,90,7,8,277,21,14,10163,8,82,4
20000202,269,42,47,74,44,48,474,71,74,10171,4,87,6
20000203,271,32,38,64,27,29,354,0,-1,10308,5,85,5
20000204,230,64,64,76,0,0,128,33,23,10308,8,91,2
20000205,214,46,49,84,75,81,584,0,-1,10272,5,75,8
20000206,206,45,46,76,0,0,132,13,6,10183,8,88,2
